date,symbol,score_fast,score_slow
2022-02-06,BNBUSDT-1d-full,,
2022-02-06,BTCUSDT-1d-full,,
2022-02-06,DOTUSDT-1d-full,0.46821861885939636,0.7969629017662683
2022-02-06,ETHUSDT-1d-full,,
2022-02-06,FETUSDT-1d-full,,
2022-02-06,INJUSDT-1d-full,,
2022-02-06,LINKUSDT-1d-full,1.4689912044138462,-0.11551918456086364
2022-02-06,LTCUSDT-1d-full,0.30224044409593076,1.6812605159415364
2022-02-06,MKRUSDT-1d-full,1.0984406198598449,1.5153174931767492
2022-02-06,NEARUSDT-1d-full,-2.1925333255318016,-1.4050439892160742
2022-02-06,OPUSDT-1d-full,,
2022-02-06,RNDRUSDT-1d-full,,
2022-02-06,SEIUSDT-1d-full,,
2022-02-06,SOLUSDT-1d-full,,
2022-02-06,STXUSDT-1d-full,,
2022-02-06,SUIUSDT-1d-full,,
2022-02-06,TIAUSDT-1d-full,,
2022-02-06,UNIUSDT-1d-full,0.22466161886697464,-0.4078745922721529
2022-02-06,WLDUSDT-1d-full,,
2022-02-06,XRPUSDT-1d-full,-0.8964067910154655,-0.6355109487417705
2022-02-07,AAVEUSDT-1d-full,0.30054138777173856,-0.042112777119127275
2022-02-07,ADAUSDT-1d-full,-0.5272152542772452,-0.774759086173582
2022-02-07,APTUSDT-1d-full,,
2022-02-07,ARBUSDT-1d-full,,
2022-02-07,ATOMUSDT-1d-full,-0.17207433663311336,-0.9439285527519946
2022-02-07,AVAXUSDT-1d-full,-0.02263468380752724,0.3089376983017919
2022-02-07,BNBUSDT-1d-full,,
2022-02-07,BTCUSDT-1d-full,,
2022-02-07,DOTUSDT-1d-full,0.6303454302546498,0.8328175106788925
2022-02-07,ETHUSDT-1d-full,,
2022-02-07,FETUSDT-1d-full,,
2022-02-07,INJUSDT-1d-full,,
2022-02-07,LINKUSDT-1d-full,0.6877839975053419,0.02535345959198358
2022-02-07,LTCUSDT-1d-full,0.38847205067709684,1.5003494176647234
2022-02-07,MKRUSDT-1d-full,1.393830247158485,1.590424669560488
2022-02-07,NEARUSDT-1d-full,-0.8908205225468215,-1.493090272689615
2022-02-07,OPUSDT-1d-full,,
2022-02-07,RNDRUSDT-1d-full,,
2022-02-07,SEIUSDT-1d-full,,
2022-02-07,SOLUSDT-1d-full,,
2022-02-07,STXUSDT-1d-full,,
2022-02-07,SUIUSDT-1d-full,,
2022-02-07,TIAUSDT-1d-full,,
2022-02-07,UNIUSDT-1d-full,0.5627832481324953,-0.18302436405426695
2022-02-07,WLDUSDT-1d-full,,
2022-02-07,XRPUSDT-1d-full,-2.3510115642350993,-0.8209677030092934
2022-02-08,AAVEUSDT-1d-full,0.2208169465001545,0.16870139770083742
2022-02-08,ADAUSDT-1d-full,-0.4010957227764161,-0.7708014268723453
2022-02-08,APTUSDT-1d-full,,
2022-02-08,ARBUSDT-1d-full,,
2022-02-08,ATOMUSDT-1d-full,-0.08518856922232614,-1.0047430613123853
2022-02-08,AVAXUSDT-1d-full,-0.2750220705862699,0.19855432147574084
2022-02-08,BNBUSDT-1d-full,,
2022-02-08,BTCUSDT-1d-full,,
2022-02-08,DOTUSDT-1d-full,0.6373922959517704,0.6116040207701553
2022-02-08,ETHUSDT-1d-full,,
2022-02-08,FETUSDT-1d-full,,
2022-02-08,INJUSDT-1d-full,,
2022-02-08,LINKUSDT-1d-full,0.6958408476624399,0.09752836395149184
