date,nav,daily_ret,gross_ret,cost_pct,drawdown,gross_exp,net_exp,n_long,n_short,port_vol_ann,port_vol_fast,port_vol_slow,btc_vol,regime_scale,paused
2022-03-08,93830.38919981808,-0.030892574910652348,-0.030767983178615906,0.00012459173203644076,-0.0695627552926737,1.077202916791045,-0.006622424967925117,7,4,0.3000212742829175,0.3000212742829175,0.20974647408318298,0.4451220526469184,1.0,False
2022-03-09,93173.7626485788,-0.006998015854340601,-0.006932268457089599,6.574739725100212e-05,-0.07607396988260451,1.0807318350396637,0.056534445069176265,7,4,0.29185939335653077,0.29185939335653077,0.20903010379662668,0.4451220526469184,1.0,False
2022-03-10,93662.7923694184,0.0052485775709633555,0.005479899927303713,0.00023132235634035726,-0.07122467244370113,1.0459044100146344,0.01801218920978656,6,5,0.283109293592454,0.283109293592454,0.20810384573831903,0.4451220526469184,1.0,False
2022-03-11,94395.114963748,0.007818714089168208,0.007952287510303694,0.00013357342113548632,-0.06396284370446498,1.085607409073011,0.026742676912119567,7,4,0.2761841088648837,0.2761841088648837,0.20752367291129392,0.4451220526469184,1.0,False
2022-03-12,94705.6396571185,0.003289626730045972,0.0033280441282693973,3.841739822342527e-05,-0.060883630854799,1.1412541993376888,-0.020187033039612917,7,4,0.2672715625441603,0.2672715625441603,0.2064383376011842,0.4451220526469184,1.0,False
2022-03-13,95767.87389542488,0.011216166662853506,0.011267258729388626,5.109206653512067e-05,-0.05035034514265265,1.0694587031342542,0.0041515798632492384,7,4,0.26405556918643747,0.26405556918643747,0.20653015142430606,0.4451220526469184,1.0,False
2022-03-14,96565.80489421089,0.008331927673964259,0.008505404181519714,0.00017347650755545499,-0.04243793290277618,1.1056808552397868,0.023994064120438613,7,4,0.2583658278378464,0.2583658278378464,0.2060480814296476,0.4451220526469184,1.0,False
2022-03-15,97467.19432714931,0.009334457823097041,0.009414790962822913,8.033313972587244e-05,-0.03349961017445961,1.1466394576434877,-0.0011987220929357278,7,4,0.25379603079384205,0.25379603079384205,0.20575095717708944,0.4451220526469184,1.0,False
2022-03-16,96356.1493195012,-0.011399168872337528,-0.011116339046996914,0.00028282982534061417,-0.04451691133326093,1.1399605348941073,-0.01726675304460587,6,5,0.2515453467731666,0.2515453467731666,0.20589312217346106,0.4451220526469184,1.0,False
2022-03-17,95760.92050102833,-0.006177382789542456,-0.0060522829959385295,0.00012509979360392635,-0.050419296120889696,1.1745479122308966,-0.028512877223523664,6,5,0.24488867798836278,0.24488867798836278,0.20509764973596556,0.4451220526469184,1.0,False
2022-03-18,95715.7820582924,-0.0004713660071328263,-0.0003088005737967997,0.00016256543333602658,-0.05086689618572753,1.2384781479171958,-0.0471889133561027,5,6,0.23655834983565596,0.23655834983565596,0.20391865818063387,0.4451220526469184,1.0,False
2022-03-19,95930.08518936533,0.0022389529340356034,0.0023352517083444655,9.629877430886211e-05,-0.048741831838152234,1.250733196631256,-0.035052685515046075,5,6,0.2287682654798921,0.2287682654798921,0.20279599546647997,0.4451220526469184,1.0,False
2022-03-20,95089.84429570325,-0.008758888225768282,-0.008676336777869983,8.255144789829814e-05,-0.05707379580693092,1.2194134359813444,0.01803924314919346,6,5,0.22517864945770139,0.22517864945770139,0.20242399220798232,0.4451220526469184,1.0,False
