signal,horizon,IC_mean,IC_median,IC_std,ICIR,t_stat,t_stat_std,pct_positive,turnover_mean,IC_mean_in,IC_mean_out,IC_sub1_2022_2023,IC_sub2_2024_2025,n_days
clv,10,0.0022091302229102078,-0.012082699908786866,0.2461107103452065,0.008976164506662783,0.1632652326670414,0.2952598764634773,0.48151571164510165,0.1505865920298479,-0.03133926057017282,0.053274629495365274,-0.04059002407419499,0.023638387783596733,1082
clv,20,0.011831815711587753,0.012944664031620553,0.24670826751805694,0.047958732111487774,0.8480668714575252,1.5702365632970188,0.5223880597014925,0.1505865920298479,-0.022325473751689914,0.06506501384886774,-0.03374170798358929,0.034971115365538416,1072
taker_imbalance_momentum,1,-0.006629177606901208,-0.0032775919732441466,0.23502973996980767,-0.02820569689500913,-0.9123707323351602,-0.9312152585160476,0.4944954128440367,0.3154736317843239,9.200203114263928e-05,-0.016634221269012133,-5.4409236854582565e-05,-0.009871529131855706,1090
taker_imbalance_momentum,2,0.004059297263989589,0.003846153846153846,0.22211277827063866,0.018275838497879848,0.5545490014095227,0.6031026704300351,0.5068870523415978,0.3154736317843239,0.012484056473648943,-0.00851036636232139,0.012751751282902084,-0.0002332726218931249,1089
taker_imbalance_momentum,3,-0.0024668526501627403,-0.010304912478825524,0.2229821704154117,-0.011063004031071359,-0.32552969838179313,-0.3649114732539294,0.4880514705882353,0.3154736317843239,0.0075588014787033395,-0.017459344604338622,0.009927483665750365,-0.008595920059130763,1088
taker_imbalance_momentum,5,0.008237903918635471,0.004396135265700483,0.23178498154824606,0.035541146210634665,1.0963488429041124,1.1712412041619615,0.5082872928176796,0.3154736317843239,0.019023958866137627,-0.007966031163787123,0.033602651427930744,-0.004339656829775406,1086
taker_imbalance_momentum,10,-0.009852098468865098,-0.010598290598290596,0.227098878805078,-0.04338241791726891,-1.3637062670307776,-1.4263516232965872,0.484736355226642,0.3154736317843239,-0.004440340065084579,-0.018076962056895168,0.007127566440529155,-0.01833015584387471,1081
taker_imbalance_momentum,20,-0.00041864332130391323,0.0,0.23002371541287953,-0.0018200006923306678,-0.05623965180822317,-0.05956159080321883,0.49859943977591037,0.3154736317843239,-0.002706422903224607,0.0031413382715655214,0.005690247750484661,-0.0035117527247411663,1071
intraday_range_ratio,1,-0.011441496283431964,-0.01423076923076923,0.2443944095961619,-0.046815703773003356,-1.5572936434419735,-1.528516597118221,0.4793621013133208,0.11186827549842074,-0.016221512613172517,-0.004587956888278846,-0.009001115709337185,-0.012564739944933123,1066
intraday_range_ratio,2,-0.0025710558307500374,-0.0007692307692307692,0.24272918405934354,-0.010592281437906758,-0.2732101261570249,-0.3456720899258611,0.49953051643192486,0.11186827549842074,-0.011040645908148652,0.00960034592807451,-0.0021927782546583784,-0.00274540598927788,1065
intraday_range_ratio,3,0.005913107491634843,0.012405830884091754,0.23916776866196843,0.024723680472146844,0.5621117393442109,0.8064620512823275,0.5197368421052632,0.11186827549842074,0.0016332166934300268,0.012077720843177566,0.00767430376898821,0.005100247671317907,1064
intraday_range_ratio,5,0.01189381459581158,0.022941970310391364,0.2384152775360578,0.04988696495765783,0.9661502686236231,1.6257334491217028,0.536723163841808,0.11186827549842074,0.001567955281537277,0.026835380608171634,0.0020771541073014077,0.016437062425204717,1062
intraday_range_ratio,10,0.033830923534156405,0.027692307692307693,0.23195442495801827,0.14585159796058864,2.6849286340517495,4.74185953813835,0.5534531693472091,0.11186827549842074,0.013994240709506157,0.06286923778562575,0.004159056531636003,0.04765858971008822,1057
intraday_range_ratio,20,0.033902626199151735,0.025409373235460195,0.22613001284133893,0.149925371573472,2.6613500803633756,4.851192125899726,0.5367717287488061,0.11186827549842074,0.029375033761812462,0.04068861200022349,0.012636344644966742,0.04395251452855562,1047
ls_contrarian,1,0.0003518382300998161,-0.0015037593984962405,0.2550520479280804,0.0013794762008695082,0.04637861573348622,0.04564794929345767,0.4968036529680365,0.06637326525433535,0.010393481638196646,-0.014710626882045436,0.00878764875416317,-0.0038660670319318607,1095
ls_contrarian,2,0.0127912275687747,0.018153826849479023,0.2567347815479425,0.04982272947846014,1.287634032784752,1.6479201994380979,0.5301645338208409,0.06637326525433535,0.020848120244099395,0.0006782333177716695,0.021769679312578765,0.008295843636691728,1094
ls_contrarian,3,0.015723174080814577,0.016923076923076923,0.25428418978097955,0.06183307776373075,1.3671503034681554,2.0442355905738907,0.5324794144556267,0.06637326525433535,0.026339311412617247,-0.0002740787333926593,0.023896417959875314,0.011625325157933852,1093
ls_contrarian,5,0.024173953881982433,0.020869565217391303,0.25457599362847844,0.09495771198780538,1.7252550343306354,3.1364806820640974,0.537121906507791,0.06637326525433535,0.03703380279209545,0.0047063945871800026,0.03547995285857827,0.01848980839099416,1091
ls_contrarian,10,0.036067620704347464,0.03111111111111111,0.25826708084861477,0.13965241170433476,2.1918965287196324,4.602177371526765,0.5441988950276243,0.06637326525433535,0.06014590181066,-0.00080750910182348,0.05377345337275784,0.02710419639925761,1086
ls_contrarian,20,0.0647671164086363,0.07307692307692308,0.2546726897949094,0.2543151229163753,3.790505264861358,8.342156289384231,0.612453531598513,0.06637326525433535,0.10160395513941503,0.007006249950112154,0.10496720355020944,0.04412994087182309,1076
top_trader_contr,1,-0.0071550473533186386,-0.0007692307692307692,0.22396679267410416,-0.031946911717979566,-1.1280615150528464,-1.0571483620128428,0.4986301369863014,0.047973053657313226,-0.004029743900915557,-0.011843002531923257,-0.011018203580833111,-0.005223469239561401,1095
top_trader_contr,2,-0.006830451008673691,-0.001724266072092159,0.2202456862832961,-0.031012870780533087,-0.8092245600191754,-1.0257715050296274,0.4945155393053016,0.047973053657313226,0.0015347532033190296,-0.01940697084226458,-0.001307225290108175,-0.009595852088613906,1094
top_trader_contr,3,-0.005171848188226707,0.00608695652173913,0.2214671609753456,-0.023352663959070902,-0.5143005455407381,-0.7720519263533517,0.5077767612076852,0.047973053657313226,0.006245141207312776,-0.022375889548019005,-0.0011142077165454632,-0.007206242106033921,1093
top_trader_contr,5,-0.0004828083769553386,0.003076923076923077,0.2249567431020368,-0.0021462276271324945,-0.03916110622314024,-0.07089051906260987,0.5032080659945004,0.047973053657313226,0.016554979199355085,-0.026275035191784712,0.0117966209126619,-0.006656350650660971,1091
top_trader_contr,10,0.007932358315443208,0.005384615384615384,0.22184416316422287,0.03575644363278191,0.5670132847420005,1.178336226097221,0.5119705340699816,0.047973053657313226,0.03425901454826727,-0.03238608724391672,0.02871083454655793,-0.0025865651580059944,1086
top_trader_contr,20,0.006874624465314851,0.010663346315520227,0.21344258262660576,0.032208308111325884,0.47983770215237065,1.056511059979995,0.5176579925650557,0.047973053657313226,0.03923932853813963,-0.04387384946271826,0.034745297866719475,-0.007433105199259953,1076
oi_price_signal,1,0.012722176657712067,0.014365851539764584,0.23597667310255846,0.05391285710762965,1.8307213754970204,1.7766720100787747,0.5202578268876611,0.16190656383801627,0.013686475559081208,0.011295542666645392,0.007117849738539913,0.015501181741599085,1086
oi_price_signal,2,0.0074754947216063876,0.00691699604743083,0.22610970109702644,0.03306136218542238,0.9055524913565828,1.089019389849377,0.5059907834101383,0.16190656383801627,0.006891761737220442,0.008341075897537945,-0.004614771892946217,0.013478937454349749,1085
oi_price_signal,3,0.004334322475752613,-0.0059829059829059825,0.22557015252906665,0.019214964511734763,0.46363993219421673,0.6326364750209661,0.49169741697416974,0.16190656383801627,0.004066400674837086,0.004732518179865608,-0.013284229972377772,0.01309492866543071,1084
oi_price_signal,5,0.010771589064335256,0.004054254923820141,0.22008239000957347,0.048943439154158115,1.0882843258853978,1.60993415256904,0.5073937153419593,0.16190656383801627,0.0090714054611855,0.013310112047839957,-0.022776883275279207,0.027499359205971265,1082
oi_price_signal,10,0.014238748334846925,0.014615384615384615,0.22780630316550005,0.0625037504976434,1.2841077110560748,2.0512279678023537,0.5273909006499535,0.16190656383801627,0.015430728224908192,0.012438275214194945,-0.00013826944207883846,0.02145733466635777,1077
oi_price_signal,20,0.003589726849286294,-0.005384615384615384,0.22198131607836188,0.016171301768564524,0.31841112679200795,0.5282350215099398,0.49109653233364575,0.16190656383801627,-0.004854755946218083,0.016649452031832438,-0.010566670864636045,0.010798076463164713,1067
